Task ID,Epic,Story,Task Title,Labels,Description,Story Points,Priority,Dependencies,Reference Docs,Wireframe Files
E2-S0SL-T3,E2,E2-S0-SL,[FE] 학생 코스 목록 UI,"[FE]","학생 코스 목록 카드 그리드, 진도 표시, LIVE 버튼",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-001-course-list-student.html
E2-S0SL-T4,E2,E2-S0-SL,[FE] 코스 등록 모달 UI,"[FE]","초대 코드 입력 모달, 코스 등록 확인",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-008-invite-accept.html
E2-S0AS-T1,E2,E2-S0-AS,[BE] 과제 제출 API,"[BE]","학생 과제 파일 업로드 및 제출 API",2,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S0AS-T2,E2,E2-S0-AS,[BE] 임시 저장 API,"[BE]","과제 임시 저장 API",1,P0,E2-S0AS-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S0AS-T3,E2,E2-S0-AS,[BE] 제출 횟수 관리 로직,"[BE]","과제 재제출 횟수 관리 및 검증 로직",1,P0,E2-S0AS-T1,04-feature-breakdown.md; 06-database-design.md,
E2-S0AS-T4,E2,E2-S0-AS,[FE] 파일 업로드 UI,"[FE]","드래그앤드롭 파일 업로드 컴포넌트",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/asg-005-submit.html
E2-S0AS-T5,E2,E2-S0-AS,[FE] 과제 상세 및 루브릭 표시 UI,"[FE]","과제 상세 정보, 평가 기준 표시 컴포넌트",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/asg-005-submit.html
E2-S0AS-T6,E2,E2-S0-AS,[FE] 제출 확인 모달 UI,"[FE]","제출 전 확인 모달, 표절 확인 동의, 성공 페이지",1,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/asg-005-submit.html
E2-S0CD-T1,E2,E2-S0-CD,[BE] 학생 코스 상세 API,"[BE]","학생용 코스 상세 조회 API - 진도, 성적 요약",2,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S0CD-T2,E2,E2-S0-CD,[BE] 학생 세션/과제 현황 API,"[BE]","학생의 세션 출석, 과제 제출 현황 API",2,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S0CD-T3,E2,E2-S0-CD,[FE] 학생 코스 상세 UI,"[FE]","코스 상세 Hero 섹션, 진도 카드, 점수 표시",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-003-course-detail-student.html
E2-S0CD-T4,E2,E2-S0-CD,[FE] 세션/과제/녹화 목록 컴포넌트,"[FE]","학생용 세션, 과제, 녹화 영상 목록 컴포넌트",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-003-course-detail-student.html
E2-S1-T1,E2,E2-S1,[BE] 코스 CRUD API 개발,"[BE]","코스 생성/조회/수정/삭제 API 구현",2,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S1-T2,E2,E2-S1,[BE] 코스 코드 생성 로직,"[BE]","고유 코스 코드 자동 생성 로직 (예: CS101-2025-F)",1,P0,E2-S1-T1,04-feature-breakdown.md; 06-database-design.md,
E2-S1-T3,E2,E2-S1,[BE] 평가 기준 스키마 설계 및 저장,"[BE]","코스별 평가 기준 (참여도/퀴즈/과제 가중치) 저장 로직",2,P0,E2-S1-T1,04-feature-breakdown.md; 06-database-design.md,
E2-S1-T4,E2,E2-S1,[BE] TA 배정 API 개발,"[BE]","코스에 TA 배정/제거 API",1,P0,E2-S1-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S1-T5,E2,E2-S1,[FE] 코스 생성 폼 UI 개발,"[FE]","코스 생성 폼 - 기본 정보, 썸네일 업로드, 평가 기준",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-002-create-course.html
E2-S1-T6,E2,E2-S1,[FE] 코스 설정 페이지 UI 개발,"[FE]","코스 설정 페이지 - 정보 수정, TA 관리, 공개 설정",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-005-course-settings.html
E2-S1-T7,E2,E2-S1,[FE] 코스 목록 및 카드 컴포넌트 개발,"[FE]","코스 목록 그리드, 코스 카드 컴포넌트",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-001-course-list.html
E2-S1-1-T1,E2,E2-S1-1,[BE] 코스 설정 조회/수정 API,"[BE]","코스 상세 설정 조회 및 수정 API",2,P0,E2-S1-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S1-1-T2,E2,E2-S1-1,[BE] 초대 코드 재생성 API,"[BE]","코스 초대 코드 재생성 및 무효화 API",1,P0,E2-S1-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S1-1-T3,E2,E2-S1-1,[BE] 코스 보관/삭제 API,"[BE]","코스 보관 처리 및 삭제 API (소프트 삭제)",1,P0,E2-S1-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S1-1-T4,E2,E2-S1-1,[FE] 코스 설정 페이지 UI,"[FE]","코스 설정 섹션별 폼 (기본 정보, 일정, 수강생, 평가)",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-005-course-settings.html
E2-S1-1-T5,E2,E2-S1-1,[FE] 위험 영역 UI 및 확인 모달,"[FE]","코스 보관/삭제 위험 영역 UI, 확인 모달",1,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-005-course-settings.html
E2-S2-T1,E2,E2-S2,[BE] CSV 파싱 및 검증 로직,"[BE]","학생 CSV 파일 파싱, 이메일 형식/중복 검증",2,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S2-T2,E2,E2-S2,[BE] 일괄 사용자 생성/등록 API,"[BE]","CSV 기반 일괄 사용자 생성 및 코스 등록 API",2,P0,E2-S2-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S2-T3,E2,E2-S2,[BE] 초대 이메일 발송 큐 처리,"[BE]","등록된 학생 초대 이메일 비동기 발송 처리",2,P0,E2-S2-T2; E1-S1-T5,04-feature-breakdown.md; 07-api-specification.md,
E2-S2-T4,E2,E2-S2,[FE] CSV 업로드 UI 컴포넌트,"[FE]","CSV 파일 업로드 컴포넌트, 템플릿 다운로드",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-004-students.html
E2-S2-T5,E2,E2-S2,[FE] 검증 결과 미리보기 UI,"[FE]","CSV 파싱 결과 미리보기 테이블",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-004-students.html
E2-S2-T6,E2,E2-S2,[FE] 오류 표시 및 수정 UI,"[FE]","오류 행 하이라이트, 수정 기능",1,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-004-students.html
E2-S3-T1,E2,E2-S3,[BE] 초대 링크 생성/검증 API,"[BE]","고유 초대 링크 생성 및 검증 API",2,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S3-T2,E2,E2-S3,[BE] 링크 만료 및 인원 제한 로직,"[BE]","초대 링크 만료일, 최대 인원 제한 검증 로직",1,P0,E2-S3-T1,04-feature-breakdown.md; 06-database-design.md,
E2-S3-T3,E2,E2-S3,[BE] 초대 링크 자동 등록 처리,"[BE]","초대 링크 클릭 시 자동 코스 등록 처리",1,P0,E2-S3-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S3-T4,E2,E2-S3,[FE] 초대 링크 관리 UI,"[FE]","초대 링크 생성/복사/재생성/무효화 UI",1,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-005-course-settings.html
E2-S3-T5,E2,E2-S3,[FE] 초대 수락 플로우 UI,"[FE]","초대 링크 접근 시 로그인/가입 후 등록 플로우",1,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/crs-008-invite-accept.html
E2-S4-T1,E2,E2-S4,[BE] 세션 CRUD API 개발,"[BE]","세션 생성/조회/수정/삭제 API 구현",2,P0,,04-feature-breakdown.md; 07-api-specification.md,
E2-S4-T2,E2,E2-S4,[BE] 반복 일정 생성 로직,"[BE]","rrule 기반 반복 세션 일정 생성 로직",2,P0,E2-S4-T1,04-feature-breakdown.md; 06-database-design.md,
E2-S4-T3,E2,E2-S4,[BE] 세션 알림 스케줄러 개발,"[BE]","세션 시작 전 알림 스케줄러 (이메일, 푸시)",2,P0,E2-S4-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S4-T4,E2,E2-S4,[BE] iCal 내보내기 API,"[BE]","세션 일정 iCal 형식 내보내기 API",1,P0,E2-S4-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S4-T5,E2,E2-S4,[FE] 캘린더 뷰 UI 컴포넌트,"[FE]","react-big-calendar 기반 세션 캘린더 뷰",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/ses-001-session-list.html
E2-S4-T6,E2,E2-S4,[FE] 세션 생성/수정 모달 개발,"[FE]","세션 생성/수정 모달 폼",2,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/ses-002-create-session.html
E2-S4-T7,E2,E2-S4,[FE] 알림 표시 컴포넌트 개발,"[FE]","세션 알림 토스트/배너 컴포넌트",1,P0,,04-feature-breakdown.md; 08-ui-ux-design.md,
E2-S5-T1,E2,E2-S5,[BE] 파일 업로드 API (S3 연동),"[BE]","S3 연동 파일 업로드 API, 100MB 제한",2,P1,,04-feature-breakdown.md; 07-api-specification.md,
E2-S5-T2,E2,E2-S5,[BE] 폴더 구조 CRUD API,"[BE]","콘텐츠 라이브러리 폴더 구조 관리 API",2,P1,E2-S5-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S5-T3,E2,E2-S5,[BE] 파일 권한 관리 로직,"[BE]","학생별 파일 공개/비공개 권한 관리",1,P1,E2-S5-T1,04-feature-breakdown.md; 06-database-design.md,
E2-S5-T4,E2,E2-S5,[BE] 파일 검색 API,"[BE]","Elasticsearch 기반 콘텐츠 검색 API",2,P1,E2-S5-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S5-T5,E2,E2-S5,[FE] 콘텐츠 라이브러리 UI 개발,"[FE]","콘텐츠 라이브러리 페이지, 파일/폴더 목록, 검색",3,P1,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/cnt-001-content-library.html
E2-S5-T6,E2,E2-S5,[FE] 드래그 앤 드롭 업로드 컴포넌트,"[FE]","드래그앤드롭 파일 업로드, 진행률 표시",2,P1,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/cnt-002-upload.html
E2-S6-T1,E2,E2-S6,[BE] 과제 CRUD API 개발,"[BE]","과제 생성/조회/수정/삭제 API",2,P1,,04-feature-breakdown.md; 07-api-specification.md,
E2-S6-T2,E2,E2-S6,[BE] 과제 제출 API 개발,"[BE]","학생 과제 제출 API, 다중 파일 지원",2,P1,E2-S6-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S6-T3,E2,E2-S6,[BE] 늦은 제출 및 재제출 로직,"[BE]","늦은 제출 패널티, 재제출 횟수 관리 로직",2,P1,E2-S6-T2,04-feature-breakdown.md; 06-database-design.md,
E2-S6-T4,E2,E2-S6,[BE] 채점 및 피드백 API,"[BE]","과제 채점, 피드백 저장 API",2,P1,E2-S6-T2,04-feature-breakdown.md; 07-api-specification.md,
E2-S6-T5,E2,E2-S6,[FE] 과제 목록 및 상세 UI,"[FE]","과제 목록 페이지, 과제 상세 페이지",2,P1,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/asg-001-assignment-list.html
E2-S6-T6,E2,E2-S6,[FE] 과제 생성/수정 UI,"[FE]","과제 생성/수정 폼 페이지",2,P1,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/asg-002-create-assignment.html
E2-S6-T7,E2,E2-S6,[FE] 채점 UI (교수용),"[FE]","제출물 목록, 채점 화면, 피드백 입력",2,P1,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/asg-003-submissions.html; e2-course/asg-004-grading.html
E2-S7-T1,E2,E2-S7,[BE] 성적 계산 로직 개발,"[BE]","참여도+퀴즈+과제 가중치 기반 성적 자동 계산",2,P1,E2-S1-T3,04-feature-breakdown.md; 07-api-specification.md,
E2-S7-T2,E2,E2-S7,[BE] 가중치 설정 API,"[BE]","코스별 평가 항목 가중치 설정 API",1,P1,E2-S7-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S7-T3,E2,E2-S7,[BE] 성적 조회 API,"[BE]","교수/학생별 성적 조회 API",2,P1,E2-S7-T1,04-feature-breakdown.md; 07-api-specification.md,
E2-S7-T4,E2,E2-S7,[BE] 성적 내보내기 기능,"[BE]","Excel/CSV 형식 성적 내보내기",2,P1,E2-S7-T3,04-feature-breakdown.md; 07-api-specification.md,
E2-S7-T5,E2,E2-S7,[FE] 성적 관리 대시보드 UI,"[FE]","교수용 성적 관리 대시보드, 학생별 성적 테이블",3,P1,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/grd-001-grade-dashboard.html; e2-course/grd-002-student-detail.html
E2-S7-T6,E2,E2-S7,[FE] 학생용 성적 확인 UI,"[FE]","학생 본인 성적 확인 페이지",2,P1,,04-feature-breakdown.md; 08-ui-ux-design.md,e2-course/grd-003-student-view.html
E3-S1-T1,E3,E3-S1,[BE] WebRTC 미디어 서버 설정,"[BE]","Jitsi/mediasoup 기반 WebRTC 미디어 서버 구성",5,P0,,04-feature-breakdown.md; 02-technical-architecture.md,
